Song_id,Echo_song_id,Echo_artist_id,Artist,Title,MBID,Valence,Arousal,energy,liveliness,tempo,speechiness,acousticness,danceability,instrumental,loudness,valence,key,mode,time,key,Chord_progression
6624,SONLOQQ12A8C139AF9,ARH6W4X1187B99274F,Radiohead,Go to sleep,a74b1b7f-71a5-4011-9441-d0b5e4122711,26549,620000,0.859572,0.102466,161.194,0.039315,0.103316,0.288143,0.000399,-6.311,0.654279,2,0,4,Da,Fam|Faj|Fam|Faj|Fam|Cam|Faj|Fam|Faj|Cam|Faj|Fam|Faj|Cam|Fam|Faj|Fam|Ebm|Cam|Fam|Ebj|Bbj|Ebj|Bbj|Fam|Bbj|Faj|Fam|Bbj|Abm|Bbj|Caj|Bbj|Ebj|Fam|Bbj|Ebm|Gam|Fam|Ebm|Bbj|Dbj|Dam|Bbj|Baj|Cam|Gam|Fam|Ebj|Bbj|Abm|Ebm|Fam|Bbj|Fam|Bbj|Fam|Ebm|Fam|Bbj|Cam
7984,SOAQBQG12A6310E82B,AR065TW1187FB4C3A5,Tricky,Money greedy,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26549,632000,0.812299,0.156874,89.053,0.089468,0.006309,0.291048,0.610062,-11.17,0.309434,7,1,3,Ga,Dam|Dbj|Dam|Dbj|Dam|Gbm|Dam|Baj|Daj|Dam|Gbm|Daj|Dam|Dbj|Daj|Dam|Bam|Gbm|Daj|Dam|Daj|Dam|Daj|Dam|Dbj|Dam|Daj|Dam|Dbj|Dam|Daj|Bam|Dam|Daj|Dam|Daj|Dam|Daj|Dam|Bbj|Dam|Dbj|Dam|Daj|Dam|Gbm|Dam|Bbj|Dam|Bbm|Daj|Dam|Daj|Dbj|Daj|Dam|Bbj|Bam|Bbj|Dam|Baj|Bbj|Daj|Bbj|Bam|Daj|Bam|Gbm|Daj|Dbj|Daj|Bam|Dbj|Bam|Bbm|Dam|Bam|Dam|Bam|Dam|Bam|Dbj|Dam
7988,SOCESAK12B0B80BBC9,AR065TW1187FB4C3A5,Tricky,Sex drive,5bf64d94-efd9-4334-96fd-e6197b0b02b8,26549,620000,0.68823,0.215568,123.343,0.039406,0.001427,0.574964,0.023173,-7.736,0.663751,1,1,4,Db,Bam|Fam|Bam|Faj|Aam|Abj|Caj|Bam|Caj|Aam|Bam|Aam|Bam|Aam|Baj|Bam|Baj|Fam|Dbj|Faj|Caj|Aam|Caj|Baj|Eaj|Baj|Aam|Baj|Aam|Caj|Bam|Caj|Baj|Eaj|Faj|Aam|Bam|Aam|Bam|Fam|Aam|Caj|Dam|Aam|Caj|Bam|Fam|Aam|Fam|Aam|Faj|Aam|Bam|Fam|Faj|Aam|Fam|Caj|Faj|Aam|Eaj|Fam|Eaj|Fam|Caj|Bam|Aam|Baj|Bam|Eaj|Caj|Bam|Aam|Caj|Bam
5871,SOCCBRT12A8C139D04,ARODBRG1187FB3FD99,Nick Cave,The carny,4aae17a7-9f0c-487b-b60e-f8eafb410b1d,26562,704000,0.50594,0.354439,123.179,0.04715,0.312735,0.493976,0.052198,-9.763,0.359406,1,1,3,Db,Eaj|Gaj|Bam|Dam|Bam|Daj|Bam|Eam|Bam|Baj|Bam|Eam|Cam|Baj|Eam|Aam|Baj|Eam|Bam|Eam|Aam|Baj|Aam|Baj|Bam|Eam|Aam|Baj|Bam|Eam|Gaj|Eam|Gaj|Bam|Gaj|Bam|Eam|Bam|Eam|Bam|Gaj|Eam|Gaj|Eam|Bam|Baj|Abm|Bam|Eam|Bam|Baj|Faj|Eam|Bam|Faj|Bam|Fam|Bam|Faj|Bam|Eam|Bam|Eam|Bam|Gaj|Bam|Baj
22788,SOFCTEK1315CD42051,ARR3ONV1187B9A2F59,Muse,Space Dementia,1695c115-bf3f-4014-9966-2b0c50179193,26576,782000,0.722623,0.213924,170.957,0.047167,0.01531,0.166398,0.002649,-6.845,0.073008,11,1,4,Ba,Faj|Fam|Dbj|Gaj|Caj|Faj|Fam|Dbj|Gaj|Caj|Fam|Faj|Bbj|Gam|Gaj|Abj|Bbj|Gam|Dam|Fam|Faj|Caj|Gam|Abj|Ebm|Gam|Baj|Fam|Caj|Bbj|Bbm|Caj|Fam|Bbm|Cam|Fam|Bbj|Gaj|Dam|Bbm|Gam|Gaj|Caj|Dbj|Fam|Faj|Gam|Gaj|Abj|Bbj|Cam|Gaj|Bbj|Caj|Bbj|Bbm|Caj|Fam|Cam|Ebm|Bbj|Bam|Dam|Gbj|Gaj|Caj|Cam|Gaj|Cam|Gaj|Cam|Gaj|Gbj|Abj|Bam|Bbm|Bbj|Bbm|Dbj|Gaj|Caj|Dbj|Gaj|Dam|Dbj|Faj
22792,SOPYWSP1288D3FE3D2,ARR3ONV1187B9A2F59,Muse,Micro Cuts,1695c115-bf3f-4014-9966-2b0c50179193,26591,890000,0.804857,0.071748,160.33,0.036906,0.000214,0.306704,0.758474,-6.41,0.189407,2,0,4,Da,Cam|Gaj|Baj|Fam|Baj|Cam|Gaj|Fam|Gaj|Cam|Baj|Fam|Cam|Caj|Fam|Cam|Gaj|Cam|Gaj|Fam|Caj|Bam|Cam|Fam|Cam|Caj|Gaj|Caj|Fam|Caj|Gaj|Caj|Bam|Gaj|Eam|Faj|Gaj|Baj|Fam|Cam|Bam|Baj|Cam|Caj
5924,SOREKJH12A6701DE99,ARK9TRQ1187B99C095,Nine Inch Nails,Slipping away,b7ffd2af-418f-4be2-bdd1-22f8b48613da,26591,896000,0.887935,0.72926,92.988,0.094955,0.006764,0.698189,0.409415,-6.154,0.235805,7,1,4,Ga,Faj|Baj|Dbj|Fam|Dbj|Baj|Faj|Dbj|Fam|Gbm|Dbj|Fam|Dbj|Fam|Dbj|Fam|Dbj|Fam|Dam|Fam|Dbj|Fam|Dbj|Bbm|Faj|Gbj|Ebm|Dbj|Faj|Fam|Dbj|Fam|Dbj|Faj|Baj|Faj|Fam|Faj|Dbj|Baj|Faj|Ebm|Fam|Faj|Ebm|Faj|Dbj|Fam|Gbm|Fam|Gbm|Fam|Faj|Ebm|Bbm|Faj|Fam|Bbm|Bbj|Fam|Faj|Fam|Faj|Fam|Faj|Dam|Faj|Bbm|Faj|Fam|Baj|Fam|Faj|Fam|Faj|Fam|Faj|Fam|Faj|Fam|Faj
3983,SOEGRXD1429D12A30A,ARU2T6V1187FB5590B,INXS,The Gift,481bf5f9-2e7c-4c44-b08a-05b32bc7c00d,26591,884000,0.217339,0.70441,112.079,0.901358,0.873425,0.710663,0,-19.477,0.522047,0,0,4,Ca,Bam|Gbm|Abj|Fam|Gbm|Gam|Caj|Dbj|Gbm|Gbj|Faj|Fam|Aam|Bam|Gbm|Faj|Fam|Dbm|Gam|Bam|Bbm|Faj|Abj|Fam|Bbj|Aaj|Caj|Fam|Gaj|Gbj|Daj|Caj|Bbm|Gbm|Ebm|Bbj|Caj
136480,SOBRLRC12A8C142FE3,ARGWCTQ1187FB4B417,Cold War Kids,Avalanche In B,0741b30d-e15b-4a8c-b2e5-8834a03d6116,28303,241000,0.282306,0.125304,93.342,0.03531,0.526509,0.363437,0,-10.043,0.127065,9,1,3,Aa,Aam|Abm|Eam|Baj|Bam|Faj|Aam|Baj|Ebj|Caj|Gaj|Caj|Gaj|Cam|Caj|Eam|Aam|Baj|Eam|Caj|Aam|Baj|Aam|Faj|Bam|Caj|Baj|Caj|Gaj|Caj|Gaj|Cam|Caj|Gaj|Baj|Aam|Eam|Eaj
6637,SOYWEWI12B0B80619E,ARH6W4X1187B99274F,Radiohead,Sail to the moon,a74b1b7f-71a5-4011-9441-d0b5e4122711,28304,269000,0.12361,0.098233,111.58,0.056723,0.942881,0.239144,0.927486,-17.485,0.035027,9,0,4,Aa,Caj|Abj|Cam|Abj|Cam|Abj|Cam|Abj|Cam|Ebj|Cam|Ebj|Gaj|Abj|Cam|Ebj|Cam|Ebj|Cam|Ebj|Ebm|Ebj|Baj|Abm
